Pesticides Name,Symptoms,Cronical Diseases
CARBOFUR AN 3%C.G,"Nausea, vomiting, abdominal pain, respiratory distress, muscle twitching.","Highly toxic to the nervous system, can cause respiratory failure and death in extreme cases."
EMAMECTI N BENZOATE 5% SG,"Nausea, vomiting, abdominal pain, respiratory distress, muscle twitching.",Potential adverse effects on reproductive health
"FIPRONIL
 0.3 % G.R.","Skin and eye irritation, headaches, nausea, vomiting.","Neurological effects, liver toxicity, endocrine disruption."
GIBBERELLI C ACID 0.001% L,"Minimal toxicity; however, may cause mild irritation if inhaled or contacted.",Generally considered safe but may cause minor allergic reactions.
METALAXYL 35% WS,"Nausea, vomiting, abdominal pain, and diarrhea.",adverse effects on reproductive health
METRIBUZI N 70% W.P.,"Nausea, vomiting, and diarrhea.",Liver and Kidney Damage:
"METSULFUR ON
 METHYL 20% WP","Nausea, vomiting, and diarrhea.",Potential reproductive toxicity based on animal studies.
"PENDIMETH ALIN 30%
 EC","Eye and skin irritation, headaches, dizziness.","Potential carcinogen, reproductive toxicity, and liver damage."
"PIROXOFOP PROPANYL (CLODINAF OP- PROPARGYL
 ) 15% WP","Eye and skin irritation, nausea, dizziness.","Neurotoxicity, reproductive toxicity."
PRETILACHL OR 50% EC,,
PROPICONA ZOLE 25% EC,"Skin and eye irritation, dizziness, headaches.",Liver toxicity and reproductive issues with chronic exposure
SULFOSULF URON 75% WG,"Eye and skin irritation, respiratory issues.",Chronic exposure may affect liver and kidney function.
TEBUCONA ZOLE 2% DS,"Eye irritation, skin irritation, respiratory irritation.","Possible carcinogenicity, liver toxicity."
TEBUCONA ZOLE 25.9% E.C.,"Eye irritation, skin irritation, respiratory irritation.","Possible carcinogenicity, liver toxicity."
THIOMETH OXAM 25% WG,"Nausea, vomiting, abdominal pain, and diarrhea.",Hematological Changes
VALIDAMICI NE 3% L,Nausea and vomiting,Potential Immune System Effects
"ZIRAM 27
 % SC","Eye irritation, skin irritation, respiratory issues.","Carcinogenic potential, liver and kidney damage."
"2, 4-D
 Amine Salt 58% SL","Nausea, vomiting, diarrhea, and abdominal cramps.",Liver and Kidney Toxicity
Chlorpyriph os 20% EC,"Nausea, vomiting, respiratory distress, muscle twitching, confusion","Neurotoxicity, long-term neurological damage, reproductive toxicity."
Cartap Hydrochlori de 4% GR,"Nausea, vomiting, abdominal pain, excessive salivation, headache, dizziness, and sweating.",Neurotoxicity
Pretilachlor 50% EC,Skin and Eye Irritation,Liver and Kidney Toxicity
Butachlor 50% EC,"Eye and skin irritation, respiratory distress.","Potential carcinogen with prolonged exposure, liver and kidney damage."
Phorate 10% CG,"Headache, vomitting",Organophosphate poisoning leading to acute cholinergic crisis.
Metsulfuro n Methyl 20% WP,Skin irritation,Allergic reactions or respiratory issues with prolonged exposure.
Imidaclopri d 17.8% SL,"Headache, vomitting,dizziness",Possible neurotoxic effects.
"Carbendazi
 m 12%+Manc ozeb
 63%WP","Skin and eye irritation, dizziness, headaches.",Potential reproductive and developmental effects with chronic exposure.
Triacontano l 0.05% GR,"Generally low toxicity, may cause mild skin irritation.",Limited data on human effects; potential to cause allergic reactions in sensitive individuals.
Sulfosulfuro n 75% W.G.,Skin and eye irritation,Limited chronic exposure data; potential for long-term environmental persistence.
"Piroxofop - Propanyl (Clodinafop
 - Propargyl) 15% W.P.",Gastrointestinal symptoms upon ingestion,Limited evidence of chronic toxicity in humans.
Pretilachlor 37% EW,Eye and skin irritation,Potential reproductive toxicity with prolonged exposure.
Anilofos 30% EC,"Nausea, vomiting, abdominal pain, and diarrhea.",Organophosphate poisoning affecting nervous system function.
Cartap Hydrochlori de 50% S.P.,"Vomiting, diarrhea, dizziness",Acute cholinergic syndrome similar to organophosphates.
Triacontano l 0.1% EW,Eye and skin irritation,considered to have low toxicity.
Mancozeb 75% W.P.,"Skin irritation,Eye irritation",Possible respiratory irritation; limited chronic toxicity data.
Cypermethr in 10% E.C.,Skin irritation,Neurotoxic effects with prolonged exposure.
Dichlorvos 76% E.C.,Abdominal pain,Organophosphate poisoning leading to acute cholinergic syndrome.
"Bifenthrin 10% E.C.
 w/w",Skin and eye irritation,Possible neurotoxic effects; respiratory distress.
Diafenthiur on 50% W.P.,Skin irritation,Limited data; potential for allergic reactions.
Thiophanat e Methyl 70% W.P.,Eye irritation,Potential for allergic reactions; limited chronic toxicity data.
"Deltamethri n 1% +
 Triazophos 35% EC",Skin and eye irritation,Risk of neurotoxicity and organophosphate poisoning.
Carbendazi m 50% W.P.,Skin and eye irritation,Possible reproductive effects; limited chronic exposure data.
Chlorpyrifos 50% E.C.,"Nausea, vomiting, abdominal pain, and diarrhea.",Organophosphate poisoning leading to neurological issues.
Paraquat Dichloride 24% SL,Severe respiratory distress,"Acute paraquat poisoning, resulting in lung fibrosis and respiratory failure."
Acephate 75% S.P.,"Headaches,Nausea, vomiting, abdominal pain, and diarrhea.","Organophosphate poisoning, affecting the nervous system."
"Metalaxyl 8% +
 Mancozeb 64% W.P.",Skin and eye irritation,Possible respiratory irritation; limited chronic toxicity data.
Ziram 27% SC,Skin and eye irritation,Possible reproductive and developmental effects with chronic exposure
Butachlor 50% EW,"Skin and eye irritation,Nausea, vomiting, abdominal pain, and diarrhea.",Potential carcinogenic effects with prolonged exposure.
"2,4-D Ethyl Ester 38% E.C.
 (Having 2,4- D, Acid
 34% w/w)","Skin and eye irritation,Nausea, vomiting",Potential endocrine disruption; risk of long-term ecological impacts.
Hexaconazo le 5% EC,Allergic skin reactions,Limited long-term effects reported; possible reproductive effects.
"Profenofos 40% +
 Cypermethr in 4% E.C.","Skin and eye irritation,Nausea, vomiting",Possible neurotoxic effects with prolonged exposure.
Carbendazi m 46.27% S.C.,Skin and eye irritation,Potential reproductive and developmental effects with chronic exposure.
"Lambda- Cyhalothrin 4.9%
 Capsule Suspension","Skin and eye irritation,Nausea, vomiting",Possible neurotoxic effects; acute exposure risk.
Triazophos 40% E.C.,"Nausea, vomiting, abdominal pain, and diarrhea.",Organophosphate poisoning with acute symptoms.
Lambdacyh alothrin 5% E.C.,Neurological symptoms (tremors),Potential neurotoxic effects; limited long-term data.
Carbofuran 3% C.G.,"Dizziness,Nausea, vomiting",Acute poisoning leading to cholinergic symptoms.
Monocroto phos-36% S.L.,Abdominal cramps,Severe organophosphate poisoning leading to neurological effects.
Imidaclopri d 30.5% S.C.,"Nausea, vomiting, abdominal pain, and diarrhea.",Possible neurotoxic effects and long-term impacts on health.
Metribuzin 70% W.P.,"Skin and eye irritation,Nausea, vomiting",Possible long-term ecological effects; limited chronic toxicity data.
Hexaconazo le 5% SC,Skin and eye irritation,potential reproductive effects.
Alphacyper methrin 10% SC,"Skin and eye irritation,Nausea, vomiting",Possible neurotoxic effects with prolonged exposure.
Acetamiprid 20% SP,"Nausea, headache, dizziness.",Neurological disturbances.
Chlorpyriph os 2% RTU,"Eye irritation, respiratory issues, dizziness.","Neurotoxicity, potential developmental effects."
Imidaclopri d 70% WG,"Skin irritation, headache, nausea.",Possible neurotoxicity.
Chlorpyriph os 10% GR,"Abdominal cramps, vomiting, headache.","Respiratory illness, neurotoxic effects."
Chlorpyriph os 50% + Cypermethr in 5% EC,"Respiratory distress, skin irritation.",Potential for chronic respiratory disease.
Imazethapy r 10% SL,"Skin and eye irritation, gastrointestinal symptoms.",Allergic reactions.
Quinalphos 25% EC,"Nausea, vomiting, headache, abdominal pain.","Acute poisoning, possible neurotoxic effects."
"Neem Seed Kernel Based EC Containing Azadirachti n-1% (10000
 ppm) min.","Skin irritation, gastrointestinal discomfort.","Allergic reactions, dermatitis."
Isoprothiola ne 40% EC,"Eye and skin irritation, nausea.","Respiratory issues, potential systemic toxicity."
Alphamethr in 10% EC,"Skin irritation, dizziness, nausea.",Allergic skin reactions.
Fenobucarb (B.P.M.C) 50% EC,"Nausea, vomiting, headache, sweating.",Neurological symptoms.
"Acephate 50% +
 Imidacloprid 1.8% SP","Nausea, dizziness, confusion.",Potential for neurotoxic effects.
Benomyl 50% WP,"Eye irritation, skin rashes, respiratory issues.","Allergic reactions, potential carcinogenic effects."
Buprofenzin 25% SC,"Nausea, headache, dizziness.",No specific long-term diseases reported.
Carbendazim 46.27% SC,"Skin irritation, nausea, dizziness.",Possible reproductive toxicity.
Carbendazim 50% WP,"Skin and eye irritation, headache.",Possible reproductive toxicity.
Cartap Hydrochlorid e 50% SP,"Nausea, vomiting, headache.",Possible neurological damage.
Chlomequat Chloride 50% Sol,"Eye and skin irritation, respiratory issues.",Allergic reactions.
Chlorpyrifos 20% EC,"Dizziness, headache, respiratory issues.","Neurotoxic effects, potential for developmental harm."
Chlorpyripho s 50% EC,"Dizziness, headache, respiratory issues.","Neurotoxic effects, potential for developmental harm."
"Chlorpyripho s 16% +
 Alpha Cypermethri n 1% EC","Respiratory distress, skin irritation.",Chronic respiratory issues.
"Chlorpyripho s 50% EC
 +Cypermethr in 5% EC","Skin and eye irritation, nausea.",Potential for chronic toxicity
Difenoconaz ole 25% EC,"Skin irritation, headache, dizziness.","Allergic reactions, potential endocrine disruption"
Difenoconaz ole 25% ECDifenocon azole 25% EC,"Skin irritation, headache, dizziness.","Allergic reactions, potential endocrine disruption"
Emamectin Benzoate 5%Sg,"Skin irritation, nausea, dizziness.",Potential neurotoxic effects.
Ethephon 39% SL,"Eye and skin irritation, respiratory issues.","Allergic reactions, potential endocrine disruption."
Forchlorfenu ron (Cppu)0.1% SL In Liquid,"Skin and eye irritation, gastrointestinal discomfort.","Allergic reactions, potential hormonal effects"
Gibberlic Acid 0.001% Liquid,"Skin irritation, headache",Allergic reactions
Hexaconazol e 5% SC,"Skin irritation, nausea, headache.",Possible liver and kidney damage.
Hexaconazol e 5% EC,"Skin irritation, respiratory issues.","Allergic reactions, potential endocrine disruptor."
Imazethapyr 10% SL,"Skin and eye irritation, nausea.",Allergic reactions.
Imidacloprid 17.8% SL,"Nausea, dizziness, headache.",Possible neurotoxic effects.
Imidacloprid 70% WG,"Skin irritation, nausea, dizziness.",Neurological disorders
Imidacloprid 30.5% SC,"Skin and eye irritation, headache.",Potential neurotoxic effects
Imidacloprid 48% FS,"Nausea, vomiting, dizziness.",Neurological disturbances.
Indoxacarb 14.5% SC,"Skin irritation, headaches, dizziness.",Possible neurotoxic effects.
Lambda Cyhalothirin 5% EC,"Skin irritation, headache, dizziness.",respiratory issues.
"Lambda Cyhalothirin
 2. 5% EC","Skin irritation, nausea, dizziness.","Allergic reactions, possible neurotoxicity."
Lambda Cyhalothirin 4.9% CS,"Skin irritation, nausea.",Potential neurological effects.
"Metalaxyl 8% +
 Mancozeb 64% WP","Skin irritation, nausea, headache.","Allergic reactions, respiratory issues."
Metsulfuron Methyl 20% WP,"Skin and eye irritation, dizziness.","Allergic reactions, potential endocrine disruption."
Monocrotop hos 36% SL,"Nausea, vomiting, dizziness.","Acute poisoning, neurotoxic effects."
Oxyflurofen 23.5% EC,"Skin and eye irritation, nausea.",Allergic reactions.
Paraquate Dichloride 24% SL,"Severe respiratory distress, gastrointestinal symptoms.","Pulmonary fibrosis, acute kidney failure."
Penconazole 10% EC,"Skin irritation, headache, nausea.",Allergic reactions
Pendimethali n 30% EC,"Skin and eye irritation, respiratory issues.",Allergic reactions.
Piroxofop- Propinyl (Clodinafop Propargyl) 15% WP,"Skin irritation, headache.",Allergic reactions.
"Profenofos 40% EC +
 Cypermethri n 4% EC","Nausea, skin irritation, headache.","Neurotoxicity, potential respiratory issues"
Profenophos 50% EC,"Nausea, vomiting, dizziness.","Acute poisoning, neurotoxic effects"
Propargite 57% EC,"Skin irritation, respiratory issues, nausea.","Allergic reactions, potential neurotoxicity."
Validamycin 3% Liquid,"Skin and eye irritation, respiratory issues.",Allergic reactions.
"Cymoxanil 8% +
 Mancozeb 64% WP","Skin irritation, nausea.","Allergic reactions, possible liver toxicity."
Fipronil 2.92% w/w EC,"Nausea, vomiting, dizziness.",Neurotoxicity.
"Fipronil 40%
 +
 Imidacloprid 40% (80)WG","Skin irritation, headache, dizziness.",Potential neurotoxic effects.
Fipronil 80% WG,"Nausea, dizziness, respiratory issues.",Neurotoxic effects.
Isoprothiolan e 40% EC,"Skin irritation, headache.",Allergic reactions.
"Pendimethali n 30%
 +Imazethapy r 2% EC","Skin and eye irritation, nausea.",Potential liver toxicity.
Pendimethali n 38.7% CS,"Skin and eye irritation, headache.",Allergic reactions.
Tebuconazol e 2% DS,"Skin irritation, nausea.",Potential liver damage.
Tebuconazol e 25% WG,"Skin irritation, dizziness.",Potential liver damage.
Tebuconazol e 25.9% EC,"Nausea, headache.","Allergic reactions, liver toxicity."
"Thiamethoxa m 12.6% +
 Lambdachlot hrin 9.5% ZC","Skin irritation, dizziness.",Neurotoxic effects.
"Buprofezin15
 %+Acephate 35% WP","Nausea, dizziness.",Neurological disturbances.
Thiamethaxa m 75% SG,"Headache, nausea.",Neurotoxicity.
Azadirachtin 1%,"Skin irritation, gastrointestinal discomfort.",Allergic reactions.
"Buprofezin 22% +
 Fipronil 3% SC","Nausea, dizziness.",Neurotoxicity.
Diafenthiuro n 47.8% w/w SC,Skin and eye irritation.,Allergic reactions.
Diafenthiuro n 50% WP,"Skin irritation, nausea.",Respiratory issues.
Fipronil 18.87% w/w SC,"Headache, nausea.",Neurotoxicity.
Fipronil 4% + Thiamethoxa m 4% SC,"Skin irritation, nausea.",Neurotoxic effects.
Novaluron 10% EC,"Skin irritation, headache.",Allergic reactions.
"Novaluron 5.25% +
 Indoxacarb 4.5% SC","Skin irritation, dizziness.",Neurotoxicity.
Azadirachtin 0.15%,"Skin irritation, gastrointestinal discomfort.",Allergic reactions.
Fipronil 4% + Acetamiprid 4% SC,"Nausea, dizziness.",Neurological disturbances.
Priproxyfen 10% EC,"Skin irritation, headache.",Allergic reactions.
Azoxystrobin 11% w/w + Tebuconazol e 18.3% w/w SC,"Skin irritation, dizziness.",Liver and respiratory issues.
Azoxystrobin 18.2% w/w + Difenconazol e 11.4% w/w,"Skin irritation, nausea.",Liver damage.
"2, 4-D Ethyl
 Ester 38% E
 C","Skin and eye irritation, respiratory issues.",Hormonal disruptions.
Alphacyper methrin 10% EC,"Skin irritation, dizziness.",Neurotoxic effects.
Anilophos 30% EC,"Skin irritation, headache.",Allergic reactions.
"BPMC
 (Fenobucar
 b) 50% EC","Nausea, dizziness.",Neurotoxicity.
"Carbendazi
 m 12%+Manc ozeb 63%
 WP","Skin irritation, nausea.",Liver and kidney damage.
Carbendazi m 50% WP,"Skin irritation, headache.",Potential liver damage.
Carbofuran 3% CG,"Nausea, vomiting, dizziness.",Neurotoxicity.
Chorpyriph os 20% EC,"Nausea, dizziness, respiratory distress.",Neurotoxic effects.
"Chorpyriph
 os 50% EC+Cyperm ethrin 5%
 EC","Skin irritation, nausea.",Neurological disturbances.
"Copperoxyc hloride
 50% WP","Skin irritation, respiratory issues.",Liver damage.
Cypermethr in 10% EC,"Skin irritation, dizziness.",Neurotoxic effects.
Cypermethr in 25% EC,"Skin irritation, nausea",Respiratory issues.
Dichlorvos 76% EC,"Nausea, vomiting, difficulty breathing.",Severe neurotoxicity.
"Ethion
 40%+Cyper methrin 5%
 EC","Nausea, headache, dizziness.",Neurological disturbances.
Fenvalerate 0.4% DP,"Skin irritation, dizziness.",Allergic reactions.
Fenvalerate 20% EC,"Skin irritation, nausea.",Respiratory issues.
Imidaclopri d 30.5% SC,"Nausea, dizziness.",Neurotoxicity.
Imidaclopri d 48% FS,"Nausea, headache.",Neurological disorders.
Isoproturon 75% WP,Skin and eye irritation.,Allergic reactions.
Lambdacyh alothrin 2.5% EC,"Skin irritation, headache.",Neurotoxic effects.
Lambdacyh alothrin 5% EC,"Skin irritation, dizziness.",Neurological disturbances.
Malathion 50% EC,"Nausea, vomiting, respiratory issues.",Severe neurotoxicity.
Methyl Parathion 2% DP,"Nausea, headache, sweating.","Neurotoxicity, respiratory failure."
Methyl Parathion 50% EC,"Nausea, headache, sweating.","Neurotoxicity, respiratory failure."
Metribuzin 70% WP,Skin and eye irritation.,Liver and kidney damage.
"Monocroto phos 36%
 SL","Nausea, vomiting, muscle weakness.","Neurotoxicity, respiratory paralysis."
Piroxofop Propanyl (Clodinafop Propargyl) 15% WP,Skin and eye irritation.,Allergic reactions.
Pretilachlor 30.7% EC,"Skin irritation, dizziness.",Respiratory problems.
"Profenopho
 s 40%+Cyper methrin 4%
 EC","Nausea, dizziness, muscle twitching.",Neurotoxicity.
Profenopho s 50% EC,"Skin irritation, nausea.","Allergic reactions, liver damage."
Propineb 70% WP,"Skin irritation, nausea.","Allergic reactions, liver damage."
Streptomyci ne Sulphate+T etracycline Hydrochlori de 9:1 SP,"Nausea, diarrhea, skin irritation.","Allergic reactions, gastrointestinal issues."
Sulfosulfuro n 75% WG,Skin and eye irritation.,Allergic reactions.
Thiamethox am 25% WG,"Nausea, headache.",Neurotoxicity.
Thiodicarb 75% WP,"Skin irritation, dizziness.",Neurotoxic effects.
"Triacontano l 0.05% EC
 Min.",Mild skin and eye irritation.,Minimal toxicity.
"Triacontano l 0.05% GR
 Min.",Mild skin and eye irritation.,Minimal toxicity.
Triazophos 40% EC,"Nausea, vomiting, dizziness.",Neurotoxicity.
Metalaxyl 8%+Mancoz eb 64% WP,"Skin irritation, headache.",Liver and kidney damage.
Fenpropath rin 10% EC,"Skin irritation, nausea.",Neurotoxicity.
Captan 70%+Hexac onazole 5% WP,"Nausea, vomiting.",Neurological disturbances.
Fenpropath rin 30% EC,"Skin irritation, nausea.",Neurotoxicity.
"Triacontano l 0.1% EW
 Min.",Mild skin and eye irritation.,Minimal toxicity.
Cartap Hdrochlorid e 50% SP,"Nausea, vomiting.",Neurological disturbances.
Chlorpyriph os 50% EC,"Nausea, dizziness.",Neurotoxicity.
"Lambdacyh alothrin 4.9%
 Capsule Suspension","Skin irritation, dizziness.",Neurotoxic effects.
Acephate 50%+Imidac loprid 1.8% SP,"Nausea, headache.",Neurotoxicity.
Spinosad 45% SC,"Skin irritation, dizziness",Allergic reactions.
Captan 50% WP,Skin and eye irritation.,Allergic reactions.
"Chlorantran
 ilprole 18.5% w/w
 SC","Nausea, headache",Allergic reactions.
Deltamethri n 1%+Triazop hos 35% EC,"Nausea, dizziness, skin irritation.",Neurotoxicity.
Deltamethri n 1.8% EC,"Nausea, dizziness, skin irritation.",Neurotoxicity.
Bromadiolo ne 0.005% RB,"Bleeding, fatigue.",Hemorrhaging.
Pendimetha lin 38.7% CS,"Skin irritation, dizziness.",Respiratory irritation.
Kasugamyci n 3% SL,"Nausea, skin irritation.",Allergic reactions.
Carbosulfan 25% EC,"Nausea, dizziness.",Neurotoxicity.
Ethephon 10% Paste,Skin and eye irritation.,Allergic reactions.
Dodine 65% WP,"Skin irritation, nausea.",Respiratory irritation.
"Bifenthrin 10% EC
 w/w","Skin irritation, dizziness.",Neurotoxicity.
Sulphur 40% SC,Eye and skin irritation.,Allergic reactions.
"Chlorpyriph
 os 16%+Alphac ypermethri
 n 1% EC","Nausea, dizziness.",Neurotoxicity.
Dicofol 18.5% EC,"Skin irritation, dizziness.",Reproductive toxicity.
Chlormequa t Chloride 50% Sol.,Skin and eye irritation.,Respiratory issues.
Penconazol e 10% EC,Eye and skin irritation.,Liver toxicity.
"Buprofenzin
 15%+Aceph ate 35% WP","Nausea, dizziness.",Neurotoxicity.
Mancozeb 75% WG,"Skin irritation, headache.",Thyroid problems.
"Propiconazo
 le 13.9%
 w/w+Difeno conazole 13.9% w/w EC","Skin irritation, nausea.",Liver damage.
Fipronil 40%+Imidac loprid 40% WG,"Nausea, dizziness.",Neurotoxicity.
"Tebuconazo le 5.36%
 w/w FS",Skin irritation,Liver toxicity.
Metribuzin 42%+Clodin afop Propargyl 12% WG,"Nausea, dizziness.",Liver damage.
"2,4-D
 Amine Salt 58% SL","Eye and skin irritation, nausea",Endocrine disruption.
"2,4-D Ethyl ESter 38%
 EC","Eye and skin irritation, nausea",Endocrine disruption.
Butachlor 5% GR,Skin and eye irritation,Liver and kidney toxicity.
Chloropyrip hos 20% EC,"Nausea, dizziness, muscle weakness",Neurotoxicity.
Cypermethr il 10% EC,"Skin irritation, dizziness.",Neurotoxicity.
Cypermethr il 25% EC,"Skin irritation, dizziness.",Neurotoxicity.
Fenvelrate 20% EC,"Skin irritation, dizziness",Neurotoxic effects.
Lambdacyh alopthrin 5% EC,"Skin irritation, dizziness.",Neurotoxicity
Piroxofop Propinyl Clodinafop Propargyl 15% WP,"Skin irritation, nausea.",Respiratory issues.
Isoprotouro n 75% WP,Eye and skin irritation.,Endocrine disruption.
Sulphur 80% WP,"Skin irritation, respiratory issues.",Allergic reactions.
"Triacontano l-GR 0.05%
 Min",Minimal toxicity.,Minimal health risk
Chloropyrip hos-50%+ Cypermethr in-5% EC,"Nausea, dizziness",Neurotoxicity
"Carbendazi m 12% +
 Mancozeb 63% WP","Skin irritation, nausea",: Liver and kidney damage.
Imidaclopri d 30.5%SC,"Nausea, dizziness",Neurotoxicity
Lambda- Cyhalothrin 4.9%(Capsul e Suspension),"Skin irritation, dizziness",Neurotoxicity.
"2-4d Ethyl
 Ester 38% EC (having 2,4-D Acid
 34% w/w",Eye and skin irritation.,Endocrine disruption.
"2-4d
 Sodium Salt 80% WP","Nausea, eye irritation.",Endocrine issues
"Accephate 50% +
 Bifenthrin 10% WDG","Nausea, dizziness.",Neurotoxicity.
Acephate 95% SG (W/W),"Nausea, headache.",Neurotoxicity.
Alachlor 10% GR,"Eye irritation, dizziness.",Liver and kidney toxicity.
Alachlor 50% EC,"Eye irritation, dizziness.",Liver and kidney toxicity.
Allethrin 3.6% Liquid,"Skin irritation, dizziness",Respiratory issues.
"Alphacyper methrin
 10% EC","Skin irritation, dizziness.",Neurotoxicity.
Alphacyper methrin 5% WP,"Skin irritation, dizziness.",Neurotoxicity.
"Azoxystrobi
 n 18.2%
 w/w + Difenoconaz ole 11.4% w/w SC","Skin irritation, dizziness.",Liver toxicity.
Azoxystrobi n 23% SC,"Skin irritation, dizziness.",Liver toxicity.
Bifenthrin 8% SC,"Skin irritation, nausea.",Neurotoxicity
Bifenthrin1 0% EC w/w,"Skin irritation, nausea.",Neurotoxicity
"Bispyribac sodium
 10% w/v SC",Skin and eye irritation.,Respiratory irritation.
Bitertanol 25% WP,Skin irritation.,Liver toxicity.
"Bromadiolo ne 0.005%
 RB (Cake)","Bleeding, dizziness.",Hemorrhaging.
Buprofezin 15%+Aceph ate 35% WP,"Nausea, headache",Neurotoxicity.
"Butachlor 5%
 Granules",Skin and eye irritation.,Liver and kidney damage.
Carbaryl 10% DP,"Nausea, vomiting, and blurred vision.",Respiratory issues and neurotoxicity.
Carbaryl 5% DP,"Nausea, vomiting, and blurred vision.",Respiratory issues and neurotoxicity.
"Carbendazi m 25% +
 Mancozeb 50% WS","Skin irritation, nausea",Liver and kidney damage
Carbendazi m 46.27 SC,"Skin irritation, dizziness.",Liver toxicity.
Carbendazi m12%+Man cozeb63% WP,Eye and skin irritation.,Liver and thyroid damage.
Cartap Hydrochlori de 50% SP,"Nausea, muscle weakness.",Neurotoxicity.
"Chlorantran
 iliprole 18.5% w/w
 SC",Mild skin irritation.,Rare but potential respiratory issues.
"Chlorantran
 iliprole
 18.5% w/w SC",Mild skin irritation.,Rare but potential respiratory issues.
Chlordane 20% EC,"Dizziness, nausea.",Cancer risk (carcinogenic).
Chlorimuro n Ethyl 25% WP,Skin and eye irritation,Potential respiratory issues.
Chloropyrip hos 2% RTU,"Nausea, dizziness.",Neurotoxicity.
Chloropyrip hos 50% + Cypermethr in 5% EC,"Nausea, dizziness.",Neurotoxic effects.
Chlorpyriph os 16% + Alphacyper methrin 1% EC,"Nausea, muscle weakness.",Neurotoxicity.
"Clodinafop Propargyl 15% +
 Metsulfuro n Methyl 1% WP","Eye irritation, nausea.",Liver damage.
Clodinafop Propargyl 9%+Metrib uzin 20% WP,"Nausea, dizziness.",Liver toxicity.
Copper Oxy Chloride 50% WP,"Skin irritation, respiratory issues.",Lung damage.
"Cypermethr in 0.11% +
 Pyrethrin 0.2%
 Aerosal","Skin irritation, respiratory discomfort.",Neurotoxicity.
Deltamethri n 2.8% EC,"Eye and skin irritation, dizziness",Neurotoxic effects.
Dichlorovos 76% EC,"Nausea, respiratory distress.","Neurotoxicity, carcinogenic effects."
Emamectin Benzoate 1.5%+Fipro nil 3.5% SE for indigenous manfacture,"Skin irritation, nausea.",Neurotoxicity.
Emamectin Benzoate 1.9% EC,Eye and skin irritation.,Neurotoxicity.
Ethion40%+ Cypermethr in 5% EC,"Nausea, dizziness.",Neurotoxicity.
Etofenprox 10% EC,"Eye irritation, dizziness.",Respiratory issues.
Fenarimol 12% EC,Skin irritation.,Liver damage
"Fenobucarb (BPMC)
 20%+Buprof enzin 5%
 SE for indigenous manfacture","Nausea, headache.",Neurotoxicity.
"Fenoxaprop
 -P-Ethyl 10% EC","Skin irritation, dizziness",Respiratory issues.
"Fenoxaprop
 -P-Ethyl 9.3% EC","Skin irritation, dizziness",Respiratory issues.
"Fipronil 4%
 +
 Acetamiprid 4% SC","Nausea, dizziness.",Neurotoxicity.
"Fipronil 40% +
 Imidacliprid 40% WG","Eye irritation, nausea.",Neurotoxicity
Gibberellic Acid 0.186% SP,Mild skin and eye irritation.,No major long-term diseases.
Hexaconazo le 2% SC,"Skin and eye irritation, dizziness.",Liver toxicity.
"Hexaconazo
 le 5%+Valida mycin 2.5%
 SC","Skin and eye irritation, dizziness.",Liver toxicity.
"Hexaconazo le
 4%+Zineb 68% WP","Skin and eye irritation, dizziness.",Liver toxicity.
Hexaconazo le 75% WG,"Skin and eye irritation, dizziness.",Liver toxicity.
Imidaclopri d 0.3% GR,"Dizziness, nausea, vomiting.",Neurotoxicity.
Imidaclopri d 70% WS,"Dizziness, nausea, vomiting.",Neurotoxicity.
"Indoxacarb
 14.5% +
 Acetamiprid 7.7% w/w SC","Dizziness, nausea, headache.",Neurotoxicity.
Lambda Cyhalothrin 2.5% EC,"Skin irritation, respiratory issues.",Neurotoxic effects.
Lindane 6% Granules,"Seizures, dizziness, nausea.","Neurotoxicity, cancer (carcinogenic"
Malathion 25% WP,"Nausea, respiratory distress.",Neurotoxicity.
Malathion 5% DP,"Nausea, respiratory distress.",Neurotoxicity.
Mancozeb 35% SC,"Skin irritation, nausea.",Thyroid and liver damage
Metalaxyl 35%WS,Skin and eye irritation.,Liver toxicity.
"Metribuzin 42%+
 Clodinafop Propargyl 12% WG
 for indigenous manfacture","Dizziness, nausea.",Liver and kidney damage.
"Metsulfuro n Methyl 10% w/w + Chlorimuro n Ethyl 10
 % WP",Skin irritation.,Liver damage.
Myclobutan il 10% WP,"Skin irritation, nausea.",Reproductive issues.
Neem Extract Concentrate Containing Azadirachti n-5% w/w Min.,Skin irritation.,"Generally safe, minimal toxicity."
"Neem Oil
 Based EC Containing Azadirachti n 0.03%
 (300
 PPM)Min",Skin irritation.,"Generally safe, minimal toxicity."
"Neem Seed Kernel Based EC Containing Azadirachti n 0.15% EC
 (1500 ppm) min.",Skin irritation.,"Generally safe, minimal toxicity."
"Paraquate Dichloride Technical 42%
 min.(for import only)","Severe lung damage, nausea, vomiting.","Lung fibrosis, fatal poisoning."
Phenthoate 2% DP,"Nausea, vomiting.",Neurotoxicity.
Phenthoate 50% EC,"Nausea, vomiting.",Neurotoxicity.
Phosalone 4% DP,"Dizziness, nausea.",Neurotoxicity.
Phosphamid on 40% SL,"Seizures, respiratory distress.",Neurotoxicity.
Piroxofop- Propanyl (Clodinafop- propanyl) 15% WP,"Skin irritation, respiratory issues.",Liver toxicity.
Pretilachlor- 37% w/w EW,"Skin irritation, respiratory issues.",Liver toxicity.
Pretilachlor- 30.7% EC,"Skin irritation, respiratory issues.",Liver toxicity.
